event_id,choice_id,outcome_id,probability,forced_combat,forced_combat_reward_policy,reward_ref,result_summary_ko
common_adventurer_rumor,listen,rumor_gain,0.7,,event_defined,normal_ability_choice,모험가들의 이야기가 유용한 전투 비법으로 이어졌다.
common_adventurer_rumor,listen,rumor_empty,0.3,,event_defined,meso_s,소문은 헛소리였지만 떨어진 메소를 발견했다.
common_adventurer_rumor,move_on,move_on_success,1.0,,event_defined,meso_m,쓸데없는 다툼을 피해 길을 재촉했다.
common_lost_merchant,help_cart,help_success,1.0,,event_defined,,상인이 다음 상점에서 쓸 수 있는 표식을 건넸다.
common_lost_merchant,take_goods,take_success,1.0,,event_defined,meso_l,수레의 짐에서 값나가는 물건을 챙겼다.
common_roadside_chest,open_chest,chest_success,0.7,,event_defined,normal_item_choice,잠금장치 안에 쓸 만한 물건이 들어 있었다.
common_roadside_chest,open_chest,chest_trap,0.3,,event_defined,meso_s,상자는 함정이었지만 약간의 메소는 남아 있었다.
common_roadside_chest,leave_chest,leave_success,1.0,,event_defined,meso_s,상자 곁에서 떨어진 메소를 발견했다.
common_wandering_smith,sharpen_blade,sharpen_success,1.0,,event_defined,normal_stat_choice,대장장이의 손길로 전투 감각이 살아났다.
common_wandering_smith,save_time,save_success,1.0,,event_defined,meso_m,시간을 아낀 대신 메소를 챙겼다.
common_duel_challenge,join_duel,duel_combat,1.0,elite,stage_standard,elite_combat_reward,결투가 진짜 전투로 번졌다.
common_duel_challenge,mediate,mediate_success,1.0,,event_defined,meso_m,모험가들은 감사의 뜻으로 메소를 남겼다.
common_ruined_shrine,pray,pray_success,1.0,,event_defined,normal_ability_choice,기도처의 잔향이 능력으로 남았다.
common_ruined_shrine,offer_meso,offer_success,1.0,,event_defined,,공물이 다음 상점에서 쓸 표식으로 바뀌었다.
common_injured_scout,help_scout,help_success,1.0,,event_defined,normal_stat_choice,정찰병의 조언이 성장의 단서가 됐다.
common_injured_scout,take_map,map_success,1.0,,event_defined,meso_m,안전한 길의 지도와 메소를 챙겼다.
common_odd_vendor,barter,barter_success,1.0,,event_defined,normal_item_choice,행상은 값을 치른 만큼의 물건을 내주었다.
common_odd_vendor,refuse,refuse_success,1.0,,event_defined,meso_s,행상은 아쉬워하며 약간의 메소를 흘렸다.
common_silent_camp,rest,rest_success,1.0,,event_defined,,야영지의 남은 표식이 다음 상점까지 이어진다.
common_silent_camp,search_camp,search_success,1.0,,event_defined,meso_m,야영 장비 속에서 메소를 발견했다.
common_stray_map,follow_map,map_combat,1.0,normal,event_defined,normal_ability_choice,지도 끝에서 길을 막은 적을 물리쳤다.
common_stray_map,sell_map,sell_success,1.0,,event_defined,meso_m,지도를 원하는 모험가에게 팔았다.
orbis_teal_glimmer,follow_light,follow_success,1.0,,event_defined,normal_ability_choice,잔광이 노아의 연구 흔적을 비춘다.
orbis_teal_glimmer,safe_route,safe_success,1.0,,event_defined,meso_m,안전한 우회로에서 메소를 발견했다.
orbis_shadow_bargain,accept_trade,trade_success,0.6,,event_defined,normal_item_choice,그림자가 약속한 물건을 건넸다.
orbis_shadow_bargain,accept_trade,trade_fail,0.4,,event_defined,meso_m,그림자가 균열의 대가를 남겼다.
orbis_shadow_bargain,cut_shadow,elite_combat,1.0,elite,stage_standard,elite_combat_reward,그림자가 실체를 드러내며 길을 막는다.
orbis_empty_dock,decode_ticket,decode_success,1.0,,event_defined,,노선표가 다음 상점의 할인 표식으로 바뀌었다.
orbis_empty_dock,salvage_parts,salvage_success,1.0,,event_defined,meso_s,쓸 만한 부품을 챙겼다.
orbis_cloud_bridge,cross_bridge,cross_success,1.0,,event_defined,normal_item_choice,다리 끝에서 쓸 만한 물건을 발견했다.
