event_id,version,enabled,event_scope,theme_id,weight,cooldown_group,title_ko,description_ko
common_adventurer_rumor,1,true,common,,10,rumor,모험가들의 소문,"모험가 둘이 균열 너머의 보물을 두고 낮은 목소리로 다투고 있다."
common_lost_merchant,1,true,common,,9,merchant,길 잃은 상인,"수레 바퀴가 빠진 상인이 길을 묻고 있다."
common_roadside_chest,1,true,common,,8,treasure,길가의 잠긴 상자,"누군가 급히 버린 듯한 잠긴 상자가 길가에 놓여 있다."
common_wandering_smith,1,true,common,,8,smith,떠돌이 대장장이,"모루를 든 대장장이가 잠시 칼날을 손봐 주겠다고 제안한다."
common_duel_challenge,1,true,common,,7,combat,결투의 구경꾼,"서로 물러서지 않는 두 모험가가 도움을 청한다."
common_ruined_shrine,1,true,common,,7,shrine,낡은 기도처,"이름 모를 여행자들이 남긴 작은 기도처가 보인다."
common_injured_scout,1,true,common,,8,rescue,다친 정찰병,"상처 입은 정찰병이 안전한 길을 알고 있다며 손을 내민다."
common_odd_vendor,1,true,common,,8,merchant,수상한 행상,"정체를 알 수 없는 행상이 주머니를 열어 보인다."
common_silent_camp,1,true,common,,9,rest,조용한 야영지,"불은 꺼졌지만 아직 따뜻한 야영지가 남아 있다."
common_stray_map,1,true,common,,8,map,찢어진 지도,"여러 갈래가 그려진 찢어진 지도가 바람에 날린다."
orbis_teal_glimmer,1,true,theme,orbis,10,noah_trace,청록빛 잔광,"부서진 구름길 끝에서 노아의 목걸이와 같은 청록빛이 깜빡인다."
orbis_shadow_bargain,1,true,theme,orbis,8,shadow,그림자 수집가,"그림자 속 존재가 연구 노트 한 장을 내밀며 균열의 힘을 요구한다."
orbis_empty_dock,1,true,theme,orbis,7,travel,빈 비행선 선착장,"멈춘 비행선 안에서 노아가 남긴 것으로 보이는 노선표를 발견한다."
orbis_cloud_bridge,1,true,theme,orbis,8,travel,끊어진 구름다리,"바람에 흔들리는 구름다리 너머로 희미한 발광이 보인다."
orbis_star_chart,1,true,theme,orbis,8,study,별자리 항해도,"낡은 항해도에 균열과 닮은 별자리 표식이 찍혀 있다."
orbis_wind_vane,1,true,theme,orbis,7,study,폭풍의 풍향계,"망가진 풍향계가 균열이 있는 방향을 가리키며 요동친다."
orbis_sky_pirate_signal,1,true,theme,orbis,7,signal,공중 해적의 신호,"구름 아래에서 알 수 없는 신호탄이 연달아 터진다."
orbis_cursed_feather,1,true,theme,orbis,7,shadow,검은 깃털,"손바닥만 한 검은 깃털이 미세한 그림자를 뿜어낸다."
orbis_fallen_observatory,1,true,theme,orbis,8,study,무너진 관측소,"무너진 관측소의 망원경이 아직 하늘을 향하고 있다."
orbis_airy_pouch,1,true,theme,orbis,8,treasure,바람 든 주머니,"바람만 담긴 줄 알았던 주머니가 공중에 떠 있다."
